Industry,Percentage of establishments ,Standard error of the percentage of establishments ,Number of establishments ,Standard error of the number of establishments ,Percentage of employment In establishments ,Standard error of the percentage of employment In establishments ,Employment in establishments ,Standard error of the employment in establishments 
"Total U.S., private sector ",51.85,0.3,"4,383,425","25,764",62,0.39,"78,287,877","492,014"
"Agriculture, Forestry, Fishing and Hunting",26.6,2.29,"27,835","2,400",35.72,4.68,"456,971","59,927"
"Mining, Quarrying, and Oil and Gas Extraction",48.34,4.6,"14,779","1,406",59.69,5.16,"403,100","34,835"
Utilities,36.54,3.41,"6,724",628,42.75,1.89,"234,657","10,357"
Construction,51.5,0.56,"402,153","4,409",57.64,1.16,"4,326,802","86,831"
Manufacturing,56,0.49,"192,564","1,672",67.48,0.81,"8,672,302","103,790"
Wholesale Trade,45.11,1.19,"262,535","6,941",52.92,2.22,"3,134,301","131,464"
Retail Trade,57.29,0.58,"582,704","5,922",62.32,1.49,"9,811,026","235,235"
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),56.11,2.56,"63,165","2,881",59.14,3.23,"2,089,293","114,219"
Scheduled Air Transportation,55.87,2.97,"1,337",71,83.75,3.24,"385,287","14,888"
Truck Transportation,44.14,2.86,"58,509","3,789",45.72,2.3,"702,681","35,343"
Information,40.77,2.55,"71,206","4,446",46.08,3.3,"1,326,597","94,944"
Finance and Insurance,37.16,1.43,"179,185","6,893",42.08,1.78,"2,551,739","108,040"
Real Estate and Rental and Leasing ,46.59,1.68,"187,502","6,748",53.56,2.04,"1,240,545","47,280"
Professional and Technical Services,38.33,0.86,"457,184","10,264",49.11,1.66,"4,721,035","159,420"
Management of Companies and Enterprises,45.02,2.22,"30,140","1,486",59.72,2.65,"1,448,716","64,262"
Administrative and Waste Services,50.08,1.37,"265,800","7,282",60.98,1.74,"5,722,454","163,357"
Educational Services,57.88,2.65,"70,686","3,233",73.85,2.1,"2,192,867","62,370"
Health Care,63.56,0.57,"443,334","4,004",68.46,1.01,"11,132,058","163,829"
Social Assistance,63.07,5.75,"133,729","12,193",65.9,1.91,"2,231,652","64,707"
"Arts, Entertainment, and Recreation",70.29,2.55,"103,704","3,762",85.13,1.99,"2,077,966","48,569"
Accommodation and Food Services,69.79,0.51,"495,088","3,653",75.32,0.73,"10,686,937","103,559"
"Other Services, Except Public Administration",56.51,1.22,"333,563","7,174",63.76,1.57,"2,738,889","67,577"
