Industries,Percentage of businesses,Standard error of the percentage of  businesses ,Number of  businesses ,Standard error of the number of  businesses ,Percentage of employment In  businesses ,Standard error of the percentage of employment In  businesses ,Employment in  businesses ,Standard error of the employment in  businesses 
Total Private Employment Percentages,17.75,0.26,"1,500,849","22,242",13.45,0.32,"16,981,279","398,430"
"Agriculture, Forestry, Fishing and Hunting",27.99,4.48,"29,284","4,688",20.39,4.1,"260,820","52,418"
"Mining, Quarrying, and Oil and Gas Extraction",21.63,2.95,"6,614",902,18.16,3.98,"122,624","26,857"
Utilities,57.21,3.32,"10,529",612,57.63,2.02,"316,275","11,074"
Construction,19.45,0.43,"151,908","3,368",21.24,1.03,"1,594,713","77,123"
Manufacturing,12.62,0.32,"43,400","1,114",9.66,0.69,"1,241,876","88,922"
Wholesale Trade,17.06,0.83,"99,292","4,840",11.63,1.64,"688,623","97,119"
Retail Trade,7.74,0.32,"78,757","3,251",5.75,1.07,"904,945","168,849"
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),16.07,2.07,"18,094","2,331",10.78,2.16,"380,982","76,422"
Scheduled Air Transportation,10.61,2.25,254,54,1.72,3.23,"7,912","14,839"
Truck Transportation,19.66,2.12,"26,065","2,817",17.97,2.02,"276,118","31,092"
Information,22.73,2.22,"39,708","3,882",14.43,2.83,"415,492","81,402"
Finance and Insurance,35.92,1.45,"173,181","7,014",42,1.97,"2,546,559","119,551"
Real Estate and Rental and Leasing ,29.4,1.54,"118,324","6,179",24.82,1.77,"574,933","41,093"
Professional and Technical Services,28.27,0.79,"337,189","9,372",25.41,1.72,"2,443,098","164,889"
Management of Companies and Enterprises,39.15,2.44,"26,209","1,632",30.83,2.62,"747,970","63,587"
Administrative and Waste Services,21,1.09,"111,446","5,782",17.5,1.53,"1,642,177","143,238"
Educational Services,12.57,2.11,"15,351","2,576",14.17,2.22,"420,867","65,805"
Health Care,7.9,0.32,"55,111","2,264",5.77,0.58,"938,780","94,716"
Social Assistance,18.13,5.7,"38,440","12,092",10.65,1.35,"360,779","45,659"
"Arts, Entertainment, and Recreation",7.25,1.66,"10,703","2,447",2.75,1.44,"67,037","35,190"
Accommodation and Food Services,5.31,0.25,"37,701","1,770",4.41,0.44,"625,533","63,046"
"Other Services, Except Public Administration",12.42,0.72,"73,288","4,258",9.38,0.86,"403,166","37,076"
